Neural: BP training started. 2015-06-08T19:23:02
Parallel processing over 16 cores.

Training on 1056 images.
Hashing images...
 ...hashing completed. 0.0 min.
2 unique elements included:  Cu, Pd
Symmetry functions for each element:
 Cu: 32
 Pd: 32
Initializing with random weights.
Initializing with random scalings.
Calculating neighborlist for each atom...
 No saved neighborlist file found.
 Calculating 1056 of 1056 neighborlists.
 ...neighborlists calculated and saved. 0.0 min.
Calculating atomic fingerprints...
No saved fingerprint file found.
 Calculating 1056 of 1056 fingerprints. (0 exist in file.)
 Calculated 1056 new images. 0.2 min.
 Reading calculated child-fingerprints...
 ...child-fingerprints are read. 0.0 min.
 Saving fingerprints...
 ...fingerprints saved. 0.0 min.
Calculating derivatives of atomic fingerprints with respect to coordinates...
Either no saved fingerprint-derivatives file found or it cannot be read.
 Calculating 1056 of 1056 fingerprint derivatives. (0 exist in file.)
 Calculated 1056 new images. 1.1 min.
 Reading child-fingerprint-derivatives...
 ...child-fingerprint-derivatives are read. 0.0 min.
 ...fingerprint derivatives calculated and saved. 0.1 min.
 ...all fingerprint operations complete. 1.5 min.
Re-shaping data to send to fortran90...
 ...data re-shaped. 0.0 min.
Sending data to fortran90...
 ...data sent to fortran90. 0.0 min.
Starting optimization of cost function...
 Energy goal: 1.000e-04
 Force goal: 1.000e-02
                                         (Energy           
                                 Cost  per Atom)      Force
 Step                 Time   Function       RMSE       RMSE
=====  ===================  =========  =========  =========
    0  2015-06-08T19:24:41  5.936e+03  2.371e+00  4.572e-04
Force Convergence!
    1  2015-06-08T19:24:41  6.041e+09  2.392e+03  0.000e+00
    2  2015-06-08T19:24:42  6.537e+05  2.488e+01  0.000e+00
    3  2015-06-08T19:24:43  4.061e+04  6.201e+00  3.595e-16
    4  2015-06-08T19:24:45  5.752e+03  2.334e+00  1.039e-06
    5  2015-06-08T19:24:47  5.387e+03  2.259e+00  9.572e-07
    6  2015-06-08T19:24:48  4.061e+03  1.961e+00  6.870e-07
    7  2015-06-08T19:24:49  1.481e+03  1.184e+00  1.709e-07
    8  2015-06-08T19:24:51  5.737e+02  7.371e-01  1.161e-08
    9  2015-06-08T19:24:53  5.737e+02  7.371e-01  1.215e-08
   10  2015-06-08T19:24:54  5.737e+02  7.371e-01  1.270e-08
   11  2015-06-08T19:24:55  5.737e+02  7.371e-01  1.520e-08
   12  2015-06-08T19:24:56  5.737e+02  7.371e-01  3.280e-08
   13  2015-06-08T19:24:57  5.737e+02  7.370e-01  1.466e-07
   14  2015-06-08T19:24:58  5.737e+02  7.371e-01  1.270e-08
   15  2015-06-08T19:24:59  5.737e+02  7.371e-01  1.327e-08
   16  2015-06-08T19:25:00  5.737e+02  7.371e-01  1.452e-08
   17  2015-06-08T19:25:01  5.737e+02  7.371e-01  1.746e-08
