Amp training started. 2016-05-26T14:29:23

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 8 cores.

Training on 26150 images.
Hashing images...
Warning: Duplicate image (based on identical hash). Was this expected? Hash: 38317a96867c5c573fa719c038849261
Warning: Duplicate image (based on identical hash). Was this expected? Hash: cb1d5f83d5f8d1c51bf1261b5b23b847
Warning: Duplicate image (based on identical hash). Was this expected? Hash: cd16fc8bb687b791ff7325aececcd269
Warning: Duplicate image (based on identical hash). Was this expected? Hash: 7a93a99776061c648d47cc6378e406d3
Warning: Duplicate image (based on identical hash). Was this expected? Hash: 2e09a9f0b21f45fd21689f1e0ee577fa
Warning: Duplicate image (based on identical hash). Was this expected? Hash: 0f31cad8216150007090bba10aad93d7
Warning: Duplicate image (based on identical hash). Was this expected? Hash: 7e2e9fc72bdc249ad212c468583837d0
Warning: Duplicate image (based on identical hash). Was this expected? Hash: 2da64aa83a4206c7d29647fa4ae9daea
Warning: Duplicate image (based on identical hash). Was this expected? Hash: 832a423d9009b52454fa0bb1949dcb63
Warning: Duplicate image (based on identical hash). Was this expected? Hash: 05f2e18685244fe57e37558f1b33c2c1
Warning: Duplicate image (based on identical hash). Was this expected? Hash: 7b9d5fd1f72a37e09e574691dc9e6cf2
Warning: Duplicate image (based on identical hash). Was this expected? Hash: 760892c37fbd53425fed708d7149b73d
Warning: Duplicate image (based on identical hash). Was this expected? Hash: 497dad9f7769e61747781dd4b4525388
Warning: Duplicate image (based on identical hash). Was this expected? Hash: 4aba676ce84a9577d9b3044445c7d535
Warning: Duplicate image (based on identical hash). Was this expected? Hash: b521f94e8370b69ee5e0ae7de13d122d
Warning: Duplicate image (based on identical hash). Was this expected? Hash: ce47c9467bacc31d823f0bd8c24dafea
Warning: Duplicate image (based on identical hash). Was this expected? Hash: 53726053344084f5062f38db2a21dfb2
Warning: Duplicate image (based on identical hash). Was this expected? Hash: 1395567227d018d041d36c5a1e8e4f95
Warning: Duplicate image (based on identical hash). Was this expected? Hash: 67695f82b94c3ff79ff641867b8ec197
Warning: Duplicate image (based on identical hash). Was this expected? Hash: 137d96e1ccf91c0f7a54ef38d36cb8b0
Warning: Duplicate image (based on identical hash). Was this expected? Hash: 2969ec4f321ae5c9f0107d1debf50c12
 26129 unique images after hashing.
 ...hashing completed. 0.4 min.
2 unique elements included: Cu, Pd
Symmetry functions for each element:
 Pd: 20
 Cu: 20
Hidden-layer structure:
 Pd: [2, 10]
 Cu: [2, 10]
Initializing with random weights.
Initializing with random scalings.
Calculating atomic fingerprints...
No saved fingerprint file found.
 Calculating 26129 of 26129 fingerprints (0 exist in file).
  Processor 0 calculations stored in file /tmp/fp-Doi9Lv.db.
  Processor 1 calculations stored in file /tmp/fp-wOwuZW.db.
  Processor 2 calculations stored in file /tmp/fp-OOqiss.db.
  Processor 3 calculations stored in file /tmp/fp-Tj_CIq.db.
  Processor 4 calculations stored in file /tmp/fp-RZZ6K0.db.
  Processor 5 calculations stored in file /tmp/fp-Dr265d.db.
  Processor 6 calculations stored in file /tmp/fp-BMTqMf.db.
  Processor 7 calculations stored in file /tmp/fp-XeNU6z.db.
 Calculated 26129 new images. 10.6 min.
 Reading calculated fingerprints...
 ...child fingerprints read and saved to ../fingerprints.db. 1.0 min.
 ...all fingerprint operations complete. 11.8 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.1 min.

Starting global search...
Simulated annealing started. 
step   temp newcost newlogp oldlogp pratio   rand accpt?(%)
==== ====== ====== ====== ====== ====== ====== ========
    0 70.00 94289285654.61 -1346989795.07 -1186959354.83 0.00 0.19 False(0)
    1 70.03 82440991807.19 -1177139884.45 -1186366171.75 inf 0.91 True(50)
    2 69.89 95958202494.82 -1372892175.37 -1179498882.21 0.00 0.71 False(33)
    3 69.93 113442810973.94 -1622236661.73 -1178909427.50 0.00 0.51 False(25)
    4 69.96 49005178898.39 -700425774.07 -1178320267.36 inf 0.02 True(40)
    5 70.00 37372558794.23 -533895033.13 -700075736.20 inf 0.83 True(50)
    6 69.86 44412577911.14 -635738463.41 -534964963.06 0.00 0.03 False(42)
    7 69.89 38509314670.36 -550961436.55 -534697614.25 0.00 0.69 False(37)
    8 69.93 35229866177.42 -503789733.62 -534430399.05 inf 0.12 True(44)
    9 69.96 34109914582.70 -487530576.37 -503537964.64 inf 0.41 True(50)
   10 69.82 28478423000.30 -407855780.39 -488507591.56 inf 0.67 True(54)
   11 69.69 37850559465.36 -543165837.58 -408673126.64 0.00 0.05 False(50)
   12 69.55 54976138842.20 -790503573.23 -409492110.87 0.00 0.92 False(46)
   13 69.58 16546381623.88 -237802023.83 -409287467.13 inf 0.29 True(50)
   14 69.44 13069553460.93 -188210010.12 -238278581.00 inf 0.36 True(53)
   15 69.30 18075806859.36 -260824941.97 -188587184.49 0.00 0.05 False(50)
   16 69.16 13995992831.74 -202359965.78 -188965114.72 0.00 0.07 False(47)
   17 69.20 13059793142.27 -188729631.10 -188870679.38 inf 0.56 True(50)
   18 69.06 12125956575.57 -175585747.29 -189107846.80 inf 0.13 True(52)
   19 68.92 10800149671.11 -156701258.52 -175937622.54 inf 0.25 True(55)
   20 68.78 6302286820.03 -91624229.03 -157015289.10 inf 0.83 True(57)
   21 68.65 9096990705.71 -132519374.95 -91807844.72 0.00 0.14 False(54)
   22 68.51 8887670856.93 -129729591.10 -91991828.38 0.00 0.86 False(52)
   23 68.37 7440210453.81 -108819259.28 -92176180.74 0.00 0.21 False(50)
   24 68.24 7690046130.43 -112698711.04 -92360902.54 0.00 0.92 False(48)
   25 68.27 4547033374.70 -66604113.60 -92314745.17 inf 0.16 True(50)
   26 68.13 6255212223.53 -91808822.73 -66737588.77 0.00 0.52 False(48)
   27 68.17 15212281339.33 -223161681.67 -66704236.65 0.00 0.77 False(46)
   28 68.20 7911388294.59 -116000773.23 -66670901.20 0.00 0.29 False(44)
   29 68.24 7173552336.40 -105129684.70 -66637582.41 0.00 0.90 False(43)
   30 68.27 3002299043.63 -43977237.57 -66604280.27 inf 0.15 True(45)
   31 68.30 1447010389.42 -21185004.19 -43955259.94 inf 0.44 True(46)
   32 68.34 4220926902.88 -61765739.16 -21174416.98 0.00 0.08 False(45)
   33 68.37 5242189517.50 -76671760.69 -21163835.06 0.00 0.96 False(44)
   34 68.41 6250879706.05 -91379077.03 -21153258.43 0.00 0.20 False(42)
   35 68.44 2216558551.38 -32386777.73 -21142687.09 0.00 0.01 False(41)
   36 68.47 16629329406.34 -242854511.73 -21132121.03 0.00 0.56 False(40)
   37 68.51 2885850578.01 -42123862.61 -21121560.25 0.00 0.70 False(39)
   38 68.54 9459681360.54 -138011018.81 -21111004.74 0.00 0.63 False(38)
   39 68.58 297280123.60 -4334969.38 -21100454.52 inf 0.49 True(40)
   40 68.61 422180693.71 -6153205.75 -4332802.98 0.00 0.24 False(39)
   41 68.65 815019389.77 -11872820.89 -4330637.66 0.00 0.11 False(38)
