Amp training started. 2016-05-29T13:47:36

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 8 cores.

Training on 11695 images.
Hashing images...
Warning: Duplicate image (based on identical hash). Was this expected? Hash: 38317a96867c5c573fa719c038849261
Warning: Duplicate image (based on identical hash). Was this expected? Hash: 0ff1138f43c60b2debdc7bf6aab5c6f5
Warning: Duplicate image (based on identical hash). Was this expected? Hash: cb1d5f83d5f8d1c51bf1261b5b23b847
Warning: Duplicate image (based on identical hash). Was this expected? Hash: 760892c37fbd53425fed708d7149b73d
Warning: Duplicate image (based on identical hash). Was this expected? Hash: 832a423d9009b52454fa0bb1949dcb63
Warning: Duplicate image (based on identical hash). Was this expected? Hash: 0f31cad8216150007090bba10aad93d7
Warning: Duplicate image (based on identical hash). Was this expected? Hash: 2969ec4f321ae5c9f0107d1debf50c12
Warning: Duplicate image (based on identical hash). Was this expected? Hash: 137d96e1ccf91c0f7a54ef38d36cb8b0
Warning: Duplicate image (based on identical hash). Was this expected? Hash: 05f2e18685244fe57e37558f1b33c2c1
Warning: Duplicate image (based on identical hash). Was this expected? Hash: ec234a3d14e86c5b9053a87895d71823
Warning: Duplicate image (based on identical hash). Was this expected? Hash: 9a5ce30c5b656f22a0d2deb457c88e6e
Warning: Duplicate image (based on identical hash). Was this expected? Hash: f30b03784db3ed51e7db2549f8db2ba2
Warning: Duplicate image (based on identical hash). Was this expected? Hash: ce47c9467bacc31d823f0bd8c24dafea
Warning: Duplicate image (based on identical hash). Was this expected? Hash: 4aba676ce84a9577d9b3044445c7d535
Warning: Duplicate image (based on identical hash). Was this expected? Hash: 90e10230e53e536c704177ef00b25e76
Warning: Duplicate image (based on identical hash). Was this expected? Hash: cd16fc8bb687b791ff7325aececcd269
Warning: Duplicate image (based on identical hash). Was this expected? Hash: 2e09a9f0b21f45fd21689f1e0ee577fa
 11678 unique images after hashing.
 ...hashing completed. 0.1 min.
2 unique elements included: Cu, Pd
Symmetry functions for each element:
 Pd: 20
 Cu: 20
Hidden-layer structure:
 Pd: [2, 7]
 Cu: [2, 7]
Initializing with random weights.
Initializing with random scalings.
Calculating atomic fingerprints...
 Saved fingerprints file ../fingerprints.db loaded with 11678 entries. 0.2 min.
 Calculating 0 of 11678 fingerprints (11678 exist in file).
 ...all fingerprint operations complete. 0.5 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.1 min.

Starting global search...
Simulated annealing started. 
step   temp newcost newlogp oldlogp pratio   rand accpt?(%)
==== ====== ====== ====== ====== ====== ====== ========
    0 70.00 19279.19 -275.42 -243.59 0.00 0.24 False(0)
    1 70.03 20192.01 -288.31 -243.47 0.00 0.18 False(0)
    2 70.07 21655.56 -309.06 -243.34 0.00 0.86 False(0)
    3 70.11 7136.18 -101.79 -243.22 26434774451790357483785850092210533960409125434632390817349632.00 0.60 True(25)
    4 70.14 6352.06 -90.56 -101.74 71633.37 0.16 True(40)
    5 70.18 5390.92 -76.82 -90.52 887655.44 0.07 True(50)
    6 70.03 3720.49 -53.12 -76.97 22831588348.38 0.04 True(57)
    7 69.89 14039.38 -200.86 -53.23 0.00 0.24 False(50)
    8 69.75 4862.21 -69.70 -53.34 0.00 0.17 False(44)
    9 69.79 7226.96 -103.55 -53.31 0.00 0.82 False(40)
   10 69.82 5010.87 -71.76 -53.28 0.00 0.41 False(36)
   11 69.86 13549.09 -193.95 -53.26 0.00 0.65 False(33)
   12 69.89 3299.89 -47.21 -53.23 410.61 0.51 True(38)
   13 69.93 2412.84 -34.50 -47.19 322821.91 0.61 True(42)
   14 69.96 2327.59 -33.27 -34.49 3.38 0.83 True(46)
   15 70.00 1988.99 -28.41 -33.25 126.11 0.81 True(50)
   16 69.86 2746.49 -39.31 -28.47 0.00 0.57 False(47)
   17 69.89 1053.23 -15.07 -28.46 652213.30 0.19 True(50)
   18 69.75 590.11 -8.46 -15.10 764.62 0.74 True(52)
   19 69.62 427.22 -6.14 -8.48 10.38 0.25 True(55)
   20 69.48 887.12 -12.77 -6.15 0.00 0.14 False(52)
   21 69.34 1344.29 -19.39 -6.16 0.00 0.92 False(50)
   22 69.20 183.54 -2.65 -6.17 33.83 0.92 True(52)
   23 69.06 1882.10 -27.25 -2.66 0.00 0.21 False(50)
   24 68.92 1023.40 -14.85 -2.66 0.00 0.58 False(48)
   25 68.96 1797.12 -26.06 -2.66 0.00 0.39 False(46)
   26 68.99 950.64 -13.78 -2.66 0.00 0.32 False(44)
   27 69.03 2599.98 -37.67 -2.66 0.00 0.05 False(42)
   28 69.06 1036.43 -15.01 -2.66 0.00 0.65 False(41)
   29 69.09 584.04 -8.45 -2.66 0.00 0.48 False(40)
   30 69.13 858.34 -12.42 -2.66 0.00 0.89 False(38)
   31 69.16 1160.75 -16.78 -2.65 0.00 0.95 False(37)
   32 69.20 260.02 -3.76 -2.65 0.33 0.14 True(39)
   33 69.23 1699.10 -24.54 -3.76 0.00 0.43 False(38)
