Neural: BP training started. 2015-07-28T17:37:35
Parallel processing over 32 cores.

Training on 1352 images.
Hashing images...
 1352 unique images after hashing.
 ...hashing completed. 0.0 min.
2 unique elements included:  Pd, Cu
Hidden layer structure:
 Pd: (2, 40)
 Cu: (2, 40)
Symmetry functions for each element:
 Pd: 32
 Cu: 32
Initializing with random weights.
Initializing with random scalings.
Calculating neighborlist for each atom...
 Saved neighborlist file ../neighborlists.json loaded with 1352 entries.
 Calculating 0 of 1352 neighborlists.
Calculating atomic fingerprints...
 Reading fingerprints from ../fingerprints.json...
 ...fingerprints read 0.0 min.
 Calculating 0 of 1352 fingerprints. (1352 exist in file.)
Calculating derivatives of atomic fingerprints with respect to coordinates...
 Reading fingerprint derivatives from file ../fingerprint-derivatives.json
 ...fingerprint derivatives read. 0.0 min.
 Calculating 0 of 1352 fingerprint derivatives. (1352 exist in file.)
 ...all fingerprint operations complete. 0.1 min.
Re-shaping data to send to fortran90...
 ...data re-shaped. 0.0 min.
Sending data to fortran90...
 ...data sent to fortran90. 0.0 min.
Initial parameters saved in file ./initial-parameters.json.
Starting optimization of cost function...
 Energy goal: 1.000e-03
 Force goal: 5.000e-03
 Cost function force coefficient: 0.040000
                                         (Energy           
                                 Cost  per Atom)      Force
 Step                 Time   Function       RMSE       RMSE
=====  ===================  =========  =========  =========
    0  2015-07-28T17:37:48  7.374e+03  2.334e+00  4.325e-01
    1  2015-07-28T17:37:49  1.129e+10  2.889e+03  4.337e-01
    2  2015-07-28T17:37:50  6.194e+05  2.140e+01  4.337e-01
    3  2015-07-28T17:37:51  4.018e+04  5.451e+00  4.330e-01
    4  2015-07-28T17:37:52  5.492e+03  2.014e+00  4.238e-01
    5  2015-07-28T17:37:54  2.564e+03  1.375e+00  4.084e-01
    6  2015-07-28T17:37:55  3.328e+03  1.567e+00  4.336e-01
    7  2015-07-28T17:37:56  1.302e+03  9.777e-01  4.266e-01
    8  2015-07-28T17:37:58  1.403e+04  3.220e+00  4.337e-01
    9  2015-07-28T17:37:59  1.155e+03  9.201e-01  4.311e-01
   10  2015-07-28T17:38:00  8.344e+02  7.805e-01  4.461e-01
   11  2015-07-28T17:38:02  9.025e+05  6.246e+00  1.253e+02
   12  2015-07-28T17:38:03  2.277e+04  1.971e+00  1.800e+01
   13  2015-07-28T17:38:04  1.197e+03  9.367e-01  4.456e-01
   14  2015-07-28T17:38:05  8.294e+02  7.781e-01  4.491e-01
   15  2015-07-28T17:38:07  1.422e+04  3.241e+00  5.259e-01
   16  2015-07-28T17:38:08  8.203e+02  7.738e-01  4.476e-01
   17  2015-07-28T17:38:09  8.103e+02  7.692e-01  4.402e-01
   18  2015-07-28T17:38:10  7.929e+02  7.601e-01  4.676e-01
   19  2015-07-28T17:38:11  8.055e+02  7.668e-01  4.406e-01
   20  2015-07-28T17:38:12  7.868e+02  7.557e-01  5.201e-01
   21  2015-07-28T17:38:14  8.445e+02  7.859e-01  4.206e-01
   22  2015-07-28T17:38:15  7.901e+02  7.588e-01  4.640e-01
   23  2015-07-28T17:38:16  7.860e+02  7.557e-01  5.080e-01
   24  2015-07-28T17:38:18  7.845e+02  7.548e-01  5.138e-01
   25  2015-07-28T17:38:19  7.784e+02  7.510e-01  5.415e-01
   26  2015-07-28T17:38:20  7.517e+02  7.300e-01  7.609e-01
   27  2015-07-28T17:38:22  7.255e+02  7.056e-01  9.832e-01
   28  2015-07-28T17:38:23  7.354e+02  7.081e-01  1.031e+00
   29  2015-07-28T17:38:24  6.468e+02  6.601e-01  1.033e+00
   30  2015-07-28T17:38:25  1.774e+03  9.772e-01  2.989e+00
   31  2015-07-28T17:38:27  6.561e+02  6.734e-01  8.921e-01
   32  2015-07-28T17:38:27  6.452e+02  6.629e-01  9.730e-01
   33  2015-07-28T17:38:29  6.418e+02  6.624e-01  9.470e-01
   34  2015-07-28T17:38:30  6.297e+02  6.628e-01  8.132e-01
   35  2015-07-28T17:38:31  6.105e+02  6.520e-01  8.135e-01
   36  2015-07-28T17:38:33  5.919e+02  6.497e-01  6.264e-01
