Neural: BP training started. 2015-09-07T15:50:05
Parallel processing over 48 cores.

Training on 2985 images.
Hashing images...
 2985 unique images after hashing.
 ...hashing completed. 0.1 min.
2 unique elements included:  Pd, Cu
Hidden layer structure:
 Pd: (3, 30)
 Cu: (3, 30)
Symmetry functions for each element:
 Pd: 20
 Cu: 20
Initializing with random weights.
Initializing with random scalings.
Calculating neighborlist for each atom...
 Saved neighborlist file ../neighborlists.json loaded with 2985 entries.
 Calculating 0 of 2985 neighborlists.
Calculating atomic fingerprints...
 Reading fingerprints from ../fingerprints.json...
 ...fingerprints read 0.0 min.
 Calculating 0 of 2985 fingerprints. (2985 exist in file.)
Calculating derivatives of atomic fingerprints with respect to coordinates...
 Reading fingerprint derivatives from file ../fingerprint-derivatives.json
 ...fingerprint derivatives read. 0.2 min.
 Calculating 0 of 2985 fingerprint derivatives. (2985 exist in file.)
 ...all fingerprint operations complete. 0.4 min.
Re-shaping data to send to fortran90...
 ...data re-shaped. 0.3 min.
Sending data to fortran90...
 ...data sent to fortran90. 0.0 min.
Initial parameters saved in file ./initial-parameters.json.
Starting optimization of cost function...
 Energy goal: 1.000e-03
 Force goal: 5.000e-03
 Cost function force coefficient: 0.040000
                                         (Energy           
                                 Cost  per Atom)      Force
 Step                 Time   Function       RMSE       RMSE
=====  ===================  =========  =========  =========
    0  2015-09-07T15:51:39  1.452e+04  2.201e+00  6.362e-01
    1  2015-09-07T15:51:49  9.052e+10  5.507e+03  6.290e-01
    2  2015-09-07T15:52:00  1.092e+06  1.912e+01  6.290e-01
    3  2015-09-07T15:52:11  7.849e+04  5.126e+00  6.290e-01
    4  2015-09-07T15:52:21  1.613e+04  2.321e+00  6.341e-01
    5  2015-09-07T15:52:32  5.481e+03  1.349e+00  6.427e-01
    6  2015-09-07T15:52:42  4.562e+04  3.903e+00  1.106e+00
    7  2015-09-07T15:52:53  4.515e+03  1.223e+00  6.519e-01
    8  2015-09-07T15:53:03  4.259e+03  1.189e+00  5.655e-01
    9  2015-09-07T15:53:14  3.667e+03  1.103e+00  5.385e-01
   10  2015-09-07T15:53:24  2.110e+03  8.318e-01  6.104e-01
   11  2015-09-07T15:53:35  1.590e+04  2.299e+00  1.032e+00
   12  2015-09-07T15:53:46  1.866e+03  7.802e-01  6.408e-01
   13  2015-09-07T15:53:56  1.401e+03  6.710e-01  6.893e-01
   14  2015-09-07T15:54:06  8.283e+02  5.079e-01  6.982e-01
   15  2015-09-07T15:54:17  1.293e+03  6.359e-01  8.453e-01
   16  2015-09-07T15:54:28  6.696e+02  4.561e-01  6.389e-01
   17  2015-09-07T15:54:38  5.556e+02  4.133e-01  6.192e-01
   18  2015-09-07T15:54:48  4.368e+02  3.527e-01  7.411e-01
   19  2015-09-07T15:54:58  4.172e+02  3.423e-01  7.515e-01
   20  2015-09-07T15:55:09  4.000e+02  3.347e-01  7.409e-01
   21  2015-09-07T15:55:19  3.673e+02  3.144e-01  7.781e-01
   22  2015-09-07T15:55:29  2.924e+02  2.737e-01  7.588e-01
   23  2015-09-07T15:55:39  2.285e+03  8.672e-01  5.789e-01
   24  2015-09-07T15:55:48  2.759e+02  2.660e-01  7.356e-01
   25  2015-09-07T15:55:58  1.298e+03  6.532e-01  4.563e-01
   26  2015-09-07T15:56:08  2.648e+02  2.623e-01  7.052e-01
   27  2015-09-07T15:56:18  2.510e+02  2.647e-01  5.922e-01
   28  2015-09-07T15:56:27  2.433e+02  2.645e-01  5.377e-01
   29  2015-09-07T15:56:37  2.289e+02  2.575e-01  5.097e-01
   30  2015-09-07T15:56:46  2.006e+02  2.417e-01  4.681e-01
   31  2015-09-07T15:56:56  2.647e+02  2.846e-01  4.383e-01
   32  2015-09-07T15:57:06  1.914e+02  2.363e-01  4.560e-01
   33  2015-09-07T15:57:16  1.764e+02  2.274e-01  4.305e-01
   34  2015-09-07T15:57:25  1.635e+02  2.187e-01  4.176e-01
   35  2015-09-07T15:57:36  1.541e+02  2.120e-01  4.094e-01
   36  2015-09-07T15:57:46  1.475e+02  1.998e-01  4.877e-01
   37  2015-09-07T15:57:56  1.445e+02  1.927e-01  5.310e-01
   38  2015-09-07T15:58:06  1.393e+02  1.887e-01  5.257e-01
   39  2015-09-07T15:58:15  1.289e+02  1.798e-01  5.209e-01
   40  2015-09-07T15:58:25  1.342e+02  1.857e-01  5.116e-01
   41  2015-09-07T15:58:36  1.152e+02  1.673e-01  5.144e-01
