Neural: BP training started. 2015-07-24T14:30:24
Parallel processing over 32 cores.

Training on 2634 images.
Hashing images...
 2634 unique images after hashing.
 ...hashing completed. 0.1 min.
2 unique elements included:  Pd, Cu
Hidden layer structure:
 Pd: (3, 40)
 Cu: (3, 40)
Symmetry functions for each element:
 Pd: 32
 Cu: 32
Initializing with random weights.
Initializing with random scalings.
Calculating neighborlist for each atom...
 Saved neighborlist file a0-neighborlists.json loaded with 2634 entries.
 Calculating 0 of 2634 neighborlists.
Calculating atomic fingerprints...
 Reading fingerprints from a0-fingerprints.json...
 ...fingerprints read 0.0 min.
 Calculating 0 of 2634 fingerprints. (2634 exist in file.)
Calculating derivatives of atomic fingerprints with respect to coordinates...
 Reading fingerprint derivatives from file a0-fingerprint-derivatives.json
 ...fingerprint derivatives read. 0.1 min.
 Calculating 0 of 2634 fingerprint derivatives. (2634 exist in file.)
 ...all fingerprint operations complete. 0.2 min.
Re-shaping data to send to fortran90...
 ...data re-shaped. 0.1 min.
Sending data to fortran90...
 ...data sent to fortran90. 0.0 min.
Initial parameters saved in file l3n40-initial-parameters.json.
Starting optimization of cost function...
 Energy goal: 1.000e-03
 Force goal: 5.000e-03
 Cost function force coefficient: 0.040000
                                         (Energy           
                                 Cost  per Atom)      Force
 Step                 Time   Function       RMSE       RMSE
=====  ===================  =========  =========  =========
    0  2015-07-24T14:30:56  1.171e+04  2.106e+00  5.686e-01
    1  2015-07-24T14:30:58  5.758e+10  4.676e+03  5.640e-01
    2  2015-07-24T14:31:01  1.199e+06  2.133e+01  5.640e-01
    3  2015-07-24T14:31:04  8.607e+04  5.715e+00  5.640e-01
    4  2015-07-24T14:31:07  1.805e+04  2.615e+00  5.634e-01
    5  2015-07-24T14:31:10  6.415e+03  1.557e+00  5.495e-01
    6  2015-07-24T14:31:13  1.073e+04  2.016e+00  5.387e-01
    7  2015-07-24T14:31:16  4.159e+03  1.252e+00  5.359e-01
    8  2015-07-24T14:31:18  9.452e+03  1.891e+00  5.361e-01
    9  2015-07-24T14:31:20  3.783e+03  1.194e+00  5.277e-01
   10  2015-07-24T14:31:23  3.399e+03  1.131e+00  5.370e-01
   11  2015-07-24T14:31:26  3.352e+03  1.123e+00  5.385e-01
   12  2015-07-24T14:31:29  3.256e+03  1.107e+00  5.343e-01
   13  2015-07-24T14:31:32  2.895e+03  1.043e+00  5.186e-01
   14  2015-07-24T14:31:35  2.452e+03  9.585e-01  5.531e-01
   15  2015-07-24T14:31:39  2.106e+03  8.842e-01  6.688e-01
   16  2015-07-24T14:31:43  1.998e+03  8.576e-01  7.582e-01
   17  2015-07-24T14:31:47  1.806e+03  8.132e-01  7.831e-01
   18  2015-07-24T14:31:50  1.497e+03  7.354e-01  8.297e-01
   19  2015-07-24T14:31:53  1.118e+03  6.288e-01  8.515e-01
   20  2015-07-24T14:31:57  4.589e+03  1.313e+00  6.608e-01
   21  2015-07-24T14:32:00  1.037e+03  6.059e-01  8.162e-01
   22  2015-07-24T14:32:03  9.163e+02  5.657e-01  8.343e-01
   23  2015-07-24T14:32:06  9.230e+02  5.718e-01  7.662e-01
   24  2015-07-24T14:32:09  8.098e+02  5.306e-01  8.040e-01
   25  2015-07-24T14:32:12  7.355e+02  5.052e-01  7.740e-01
   26  2015-07-24T14:32:15  8.570e+02  5.521e-01  7.177e-01
   27  2015-07-24T14:32:18  6.914e+02  4.904e-01  7.423e-01
   28  2015-07-24T14:32:21  6.624e+02  4.827e-01  6.790e-01
   29  2015-07-24T14:32:25  6.609e+02  4.835e-01  6.548e-01
   30  2015-07-24T14:32:29  6.454e+02  4.767e-01  6.675e-01
   31  2015-07-24T14:32:32  6.213e+02  4.678e-01  6.536e-01
   32  2015-07-24T14:32:36  6.211e+02  4.672e-01  6.620e-01
   33  2015-07-24T14:32:39  6.092e+02  4.628e-01  6.530e-01
   34  2015-07-24T14:32:42  5.903e+02  4.557e-01  6.417e-01
   35  2015-07-24T14:32:46  5.869e+02  4.529e-01  6.658e-01
   36  2015-07-24T14:32:48  5.786e+02  4.505e-01  6.470e-01
   37  2015-07-24T14:32:51  5.625e+02  4.433e-01  6.533e-01
   38  2015-07-24T14:32:54  5.865e+02  4.488e-01  7.287e-01
   39  2015-07-24T14:32:58  5.562e+02  4.395e-01  6.704e-01
   40  2015-07-24T14:33:01  5.473e+02  4.344e-01  6.911e-01
   41  2015-07-24T14:33:03  5.344e+02  4.279e-01  7.029e-01
   42  2015-07-24T14:33:06  5.120e+02  4.184e-01  6.945e-01
   43  2015-07-24T14:33:10  4.951e+02  4.109e-01  6.918e-01
   44  2015-07-24T14:33:13  5.157e+02  4.158e-01  7.570e-01
   45  2015-07-24T14:33:16  4.851e+02  4.046e-01  7.155e-01
   46  2015-07-24T14:33:19  4.719e+02  3.966e-01  7.389e-01
   47  2015-07-24T14:33:22  4.861e+02  3.986e-01  8.010e-01
   48  2015-07-24T14:33:24  4.655e+02  3.919e-01  7.605e-01
   49  2015-07-24T14:33:28  4.535e+02  3.837e-01  7.899e-01
   50  2015-07-24T14:33:31  4.514e+02  3.789e-01  8.333e-01
   51  2015-07-24T14:33:34  4.459e+02  3.786e-01  8.052e-01
   52  2015-07-24T14:33:37  4.445e+02  3.735e-01  8.551e-01
   53  2015-07-24T14:33:39  4.412e+02  3.742e-01  8.286e-01
   54  2015-07-24T14:33:42  4.335e+02  3.693e-01  8.396e-01
   55  2015-07-24T14:33:46  4.266e+02  3.625e-01  8.743e-01
   56  2015-07-24T14:33:50  4.156e+02  3.553e-01  8.878e-01
   57  2015-07-24T14:33:53  4.408e+02  3.688e-01  8.852e-01
   58  2015-07-24T14:33:56  4.106e+02  3.525e-01  8.890e-01
   59  2015-07-24T14:34:00  4.033e+02  3.475e-01  8.994e-01
   60  2015-07-24T14:34:02  3.924e+02  3.393e-01  9.192e-01
   61  2015-07-24T14:34:05  3.873e+02  3.369e-01  9.160e-01
   62  2015-07-24T14:34:08  3.845e+02  3.352e-01  9.173e-01
   63  2015-07-24T14:34:11  3.806e+02  3.331e-01  9.152e-01
   64  2015-07-24T14:34:14  3.786e+02  3.320e-01  9.155e-01
   65  2015-07-24T14:34:17  3.699e+02  3.266e-01  9.190e-01
   66  2015-07-24T14:34:20  3.726e+02  3.301e-01  9.016e-01
   67  2015-07-24T14:34:23  3.641e+02  3.242e-01  9.106e-01
   68  2015-07-24T14:34:26  3.550e+02  3.205e-01  8.957e-01
   69  2015-07-24T14:34:29  3.554e+02  3.248e-01  8.574e-01
   70  2015-07-24T14:34:32  3.490e+02  3.195e-01  8.727e-01
   71  2015-07-24T14:34:34  3.391e+02  3.152e-01  8.569e-01
   72  2015-07-24T14:34:37  3.357e+02  3.154e-01  8.360e-01
   73  2015-07-24T14:34:39  3.323e+02  3.124e-01  8.451e-01
   74  2015-07-24T14:34:43  3.475e+02  3.178e-01  8.795e-01
   75  2015-07-24T14:34:46  3.301e+02  3.105e-01  8.504e-01
   76  2015-07-24T14:34:49  3.259e+02  3.078e-01  8.514e-01
   77  2015-07-24T14:34:53  3.187e+02  3.035e-01  8.500e-01
   78  2015-07-24T14:34:56  3.108e+02  3.002e-01  8.347e-01
   79  2015-07-24T14:34:59  3.234e+02  3.082e-01  8.340e-01
   80  2015-07-24T14:35:02  3.068e+02  2.979e-01  8.326e-01
   81  2015-07-24T14:35:05  3.020e+02  2.941e-01  8.394e-01
   82  2015-07-24T14:35:08  2.973e+02  2.915e-01  8.350e-01
   83  2015-07-24T14:35:11  2.985e+02  2.925e-01  8.332e-01
