Amp training started. 2016-02-26T18:37:25

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 16 cores.

Training on 1021 images.
Hashing images...
 1021 unique images after hashing.
 ...hashing completed. 0.0 min.
2 unique elements included: Cu, Pd
Symmetry functions for each element:
 Pd: 20
 Cu: 20
Hidden-layer structure:
 Pd: [2, 7]
 Cu: [2, 7]
Initializing with random weights.
Initializing with random scalings.
Calculating atomic fingerprints...
No saved fingerprint file found.
 Calculating 1021 of 1021 fingerprints (0 exist in file).
  Processor 0 calculations stored in file /tmp/fp-XIfIFb.db.
  Processor 1 calculations stored in file /tmp/fp-YZfsRQ.db.
  Processor 2 calculations stored in file /tmp/fp-aXBdZY.db.
  Processor 3 calculations stored in file /tmp/fp-mtmvV0.db.
  Processor 4 calculations stored in file /tmp/fp-7EElDw.db.
  Processor 5 calculations stored in file /tmp/fp-wIGv9O.db.
  Processor 6 calculations stored in file /tmp/fp-o8X4Xf.db.
  Processor 7 calculations stored in file /tmp/fp-3n5a_r.db.
  Processor 8 calculations stored in file /tmp/fp-0Ik0gQ.db.
  Processor 9 calculations stored in file /tmp/fp-Pzn2e9.db.
  Processor 10 calculations stored in file /tmp/fp-aoJej4.db.
  Processor 11 calculations stored in file /tmp/fp-kAIOPx.db.
  Processor 12 calculations stored in file /tmp/fp-EP6tnM.db.
  Processor 13 calculations stored in file /tmp/fp-O5L8HC.db.
  Processor 14 calculations stored in file /tmp/fp-M6RyKQ.db.
  Processor 15 calculations stored in file /tmp/fp-lJQqdQ.db.
 Calculated 1021 new images. 0.5 min.
 Reading calculated fingerprints...
 ...child fingerprints read and saved to ./fingerprints.db. 0.4 min.
 ...all fingerprint operations complete. 0.9 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.

Starting global search...
Simulated annealing started. 
step   temp newcost newlogp oldlogp pratio   rand accpt?(%)
==== ====== ====== ====== ====== ====== ====== ========
    0 70.00 119.60 -1.71 -0.85 0.42 0.06 True(100)
    1 69.86 256.03 -3.66 -1.71 0.14 0.14 True(100)
    2 69.72 159.34 -2.29 -3.67 4.00 0.08 True(100)
    3 69.58 241.02 -3.46 -2.29 0.31 0.03 True(100)
    4 69.44 275.48 -3.97 -3.47 0.61 0.13 True(100)
    5 69.30 272.37 -3.93 -3.98 1.05 0.72 True(100)
    6 69.16 214.03 -3.09 -3.94 2.32 0.19 True(100)
    7 69.03 180.73 -2.62 -3.10 1.62 0.19 True(100)
    8 68.89 266.34 -3.87 -2.62 0.29 0.85 False(88)
    9 68.75 274.60 -3.99 -2.63 0.26 0.88 False(80)
   10 68.61 185.16 -2.70 -2.63 0.94 0.56 True(81)
   11 68.48 249.48 -3.64 -2.70 0.39 0.51 False(75)
   12 68.34 196.79 -2.88 -2.71 0.84 0.59 True(76)
   13 68.20 225.47 -3.31 -2.89 0.66 0.65 True(78)
   14 68.07 254.40 -3.74 -3.31 0.65 0.65 True(80)
   15 67.93 238.16 -3.51 -3.75 1.27 0.32 True(81)
   16 67.79 359.76 -5.31 -3.51 0.17 0.12 True(82)
   17 67.66 396.51 -5.86 -5.32 0.58 0.25 True(83)
   18 67.52 449.01 -6.65 -5.87 0.46 0.34 True(84)
   19 67.39 566.06 -8.40 -6.66 0.18 0.86 False(80)
   20 67.25 337.60 -5.02 -6.68 5.24 0.31 True(80)
   21 67.12 407.72 -6.07 -5.03 0.35 0.96 False(77)
   22 66.98 326.09 -4.87 -5.04 1.19 0.39 True(78)
   23 66.85 417.81 -6.25 -4.88 0.25 0.81 False(75)
   24 66.72 251.11 -3.76 -4.89 3.08 0.59 True(76)
   25 66.58 171.13 -2.57 -3.77 3.32 0.54 True(76)
   26 66.45 230.34 -3.47 -2.58 0.41 0.38 True(77)
   27 66.32 213.15 -3.21 -3.47 1.30 0.10 True(78)
   28 66.18 265.99 -4.02 -3.22 0.45 0.62 False(75)
   29 66.05 148.96 -2.26 -3.23 2.64 0.77 True(76)
   30 65.92 186.27 -2.83 -2.26 0.57 0.16 True(77)
   31 65.79 377.58 -5.74 -2.83 0.05 0.86 False(75)
   32 65.66 321.84 -4.90 -2.84 0.13 0.93 False(72)
   33 65.52 146.35 -2.23 -2.84 1.84 0.15 True(73)
   34 65.39 245.65 -3.76 -2.24 0.22 0.06 True(74)
   35 65.26 193.26 -2.96 -3.76 2.23 0.42 True(75)
   36 65.13 290.01 -4.45 -2.97 0.23 0.88 False(72)
   37 65.00 50.25 -0.77 -2.97 9.03 0.07 True(73)
   38 64.87 88.31 -1.36 -0.77 0.56 0.21 True(74)
   39 64.74 121.51 -1.88 -1.36 0.60 0.81 False(72)
   40 64.61 87.70 -1.36 -1.37 1.01 0.64 True(73)
   41 64.48 51.27 -0.80 -1.36 1.76 0.01 True(73)
   42 64.35 63.33 -0.98 -0.80 0.83 0.89 False(72)
   43 64.23 56.88 -0.89 -0.80 0.92 0.07 True(72)
   44 64.10 54.36 -0.85 -0.89 1.04 0.03 True(73)
   45 63.97 105.32 -1.65 -0.85 0.45 0.32 True(73)
   46 63.84 60.03 -0.94 -1.65 2.03 0.51 True(74)
   47 63.71 206.54 -3.24 -0.94 0.10 0.95 False(72)
   48 63.59 54.98 -0.86 -0.94 1.08 0.29 True(73)
   49 63.46 79.92 -1.26 -0.87 0.68 0.11 True(74)
   50 63.33 98.82 -1.56 -1.26 0.74 0.22 True(74)
   51 63.21 230.11 -3.64 -1.56 0.13 0.09 True(75)
   52 63.08 187.20 -2.97 -3.65 1.97 0.36 True(75)
   53 62.95 280.34 -4.45 -2.97 0.23 0.84 False(74)
   54 62.83 245.43 -3.91 -2.98 0.40 0.21 True(74)
   55 62.70 176.65 -2.82 -3.91 2.99 0.57 True(75)
   56 62.58 348.27 -5.57 -2.82 0.06 0.40 False(73)
   57 62.45 132.74 -2.13 -2.83 2.02 0.78 True(74)
   58 62.33 111.33 -1.79 -2.13 1.41 0.74 True(74)
   59 62.20 62.23 -1.00 -1.79 2.20 0.53 True(75)
   60 62.08 66.25 -1.07 -1.00 0.94 0.06 True(75)
   61 61.95 45.93 -0.74 -1.07 1.39 0.08 True(75)
   62 61.83 57.32 -0.93 -0.74 0.83 0.57 True(76)
   63 61.71 124.12 -2.01 -0.93 0.34 0.69 False(75)
   64 61.58 86.73 -1.41 -0.93 0.62 0.52 True(75)
   65 61.46 36.44 -0.59 -1.41 2.27 0.79 True(75)
   66 61.34 86.47 -1.41 -0.59 0.44 0.53 False(74)
   67 61.21 84.42 -1.38 -0.60 0.46 0.93 False(73)
   68 61.09 19.08 -0.31 -0.60 1.33 0.18 True(73)
