Amp training started. 2016-02-26T18:37:29

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 16 cores.

Training on 1021 images.
Hashing images...
 1021 unique images after hashing.
 ...hashing completed. 0.0 min.
2 unique elements included: Cu, Pd
Symmetry functions for each element:
 Pd: 20
 Cu: 20
Hidden-layer structure:
 Pd: [2, 8]
 Cu: [2, 8]
Initializing with random weights.
Initializing with random scalings.
Calculating atomic fingerprints...
No saved fingerprint file found.
 Calculating 1021 of 1021 fingerprints (0 exist in file).
  Processor 0 calculations stored in file /tmp/fp-NlUCIX.db.
  Processor 1 calculations stored in file /tmp/fp-bLUWLf.db.
  Processor 2 calculations stored in file /tmp/fp-7QWnCG.db.
  Processor 3 calculations stored in file /tmp/fp-w4tZtG.db.
  Processor 4 calculations stored in file /tmp/fp-n5K1_O.db.
  Processor 5 calculations stored in file /tmp/fp-uKPt73.db.
  Processor 6 calculations stored in file /tmp/fp-4MD7oT.db.
  Processor 7 calculations stored in file /tmp/fp-Bfte5d.db.
  Processor 8 calculations stored in file /tmp/fp-ks9Xsf.db.
  Processor 9 calculations stored in file /tmp/fp-dHBEFD.db.
  Processor 10 calculations stored in file /tmp/fp-9KsbPw.db.
  Processor 11 calculations stored in file /tmp/fp-q2xK_3.db.
  Processor 12 calculations stored in file /tmp/fp-Y6PbXH.db.
  Processor 13 calculations stored in file /tmp/fp-tfdTuB.db.
  Processor 14 calculations stored in file /tmp/fp-qWejE_.db.
  Processor 15 calculations stored in file /tmp/fp-Gi5ZXL.db.
 Calculated 1021 new images. 0.5 min.
 Reading calculated fingerprints...
 ...child fingerprints read and saved to ./fingerprints.db. 0.4 min.
 ...all fingerprint operations complete. 0.9 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.

Starting global search...
Simulated annealing started. 
step   temp newcost newlogp oldlogp pratio   rand accpt?(%)
==== ====== ====== ====== ====== ====== ====== ========
    0 70.00 80.58 -1.15 -0.84 0.73 0.10 True(100)
    1 69.86 165.16 -2.36 -1.15 0.30 0.08 True(100)
    2 69.72 166.01 -2.38 -2.37 0.99 0.75 True(100)
    3 69.58 144.50 -2.08 -2.39 1.36 0.59 True(100)
    4 69.44 212.26 -3.06 -2.08 0.38 0.29 True(100)
    5 69.30 639.36 -9.23 -3.06 0.00 0.92 False(83)
    6 69.16 210.99 -3.05 -3.07 1.02 0.24 True(85)
    7 69.03 362.27 -5.25 -3.06 0.11 0.33 False(75)
    8 68.89 107.14 -1.56 -3.06 4.52 0.32 True(77)
    9 68.75 82.27 -1.20 -1.56 1.44 0.88 True(80)
   10 68.61 483.40 -7.05 -1.20 0.00 0.17 False(72)
   11 68.48 39.94 -0.58 -1.20 1.86 0.02 True(75)
   12 68.34 42.29 -0.62 -0.58 0.97 0.41 True(76)
   13 68.20 81.83 -1.20 -0.62 0.56 0.37 True(78)
   14 68.07 142.10 -2.09 -1.20 0.41 0.81 False(73)
   15 67.93 125.54 -1.85 -1.20 0.53 0.65 False(68)
   16 67.79 82.09 -1.21 -1.21 1.00 0.09 True(70)
   17 67.66 72.57 -1.07 -1.21 1.15 0.78 True(72)
   18 67.52 277.34 -4.11 -1.07 0.05 0.76 False(68)
   19 67.39 144.32 -2.14 -1.08 0.34 0.93 False(65)
   20 67.25 84.09 -1.25 -1.08 0.84 0.28 True(66)
   21 67.12 247.30 -3.68 -1.25 0.09 0.21 False(63)
   22 66.98 101.02 -1.51 -1.26 0.78 0.30 True(65)
   23 66.85 39.10 -0.58 -1.51 2.53 1.00 True(66)
   24 66.72 245.80 -3.68 -0.59 0.05 0.06 False(64)
   25 66.58 169.10 -2.54 -0.59 0.14 0.11 True(65)
   26 66.45 133.79 -2.01 -2.54 1.70 0.31 True(66)
   27 66.32 161.87 -2.44 -2.02 0.65 0.46 True(67)
   28 66.18 53.49 -0.81 -2.45 5.14 0.28 True(68)
   29 66.05 66.36 -1.00 -0.81 0.82 0.21 True(70)
   30 65.92 84.88 -1.29 -1.01 0.75 0.46 True(70)
   31 65.79 118.78 -1.81 -1.29 0.60 0.91 False(68)
   32 65.66 102.09 -1.55 -1.29 0.77 0.50 True(69)
   33 65.52 51.59 -0.79 -1.56 2.16 0.22 True(70)
   34 65.39 132.63 -2.03 -0.79 0.29 0.66 False(68)
   35 65.26 82.74 -1.27 -0.79 0.62 0.74 False(66)
   36 65.13 87.17 -1.34 -0.79 0.58 0.60 False(64)
   37 65.00 102.76 -1.58 -0.79 0.46 0.47 False(63)
   38 64.87 96.81 -1.49 -0.80 0.50 0.29 True(64)
   39 64.74 82.62 -1.28 -1.50 1.25 0.81 True(65)
   40 64.61 22.55 -0.35 -1.28 2.53 0.66 True(65)
   41 64.48 206.06 -3.20 -0.35 0.06 0.94 False(64)
   42 64.35 40.88 -0.64 -0.35 0.75 0.79 False(62)
   43 64.23 52.25 -0.81 -0.35 0.63 0.98 False(61)
   44 64.10 27.04 -0.42 -0.35 0.93 0.83 True(62)
   45 63.97 70.53 -1.10 -0.42 0.51 0.67 False(60)
   46 63.84 33.06 -0.52 -0.42 0.91 0.94 False(59)
   47 63.71 49.16 -0.77 -0.42 0.71 0.29 True(60)
   48 63.59 91.31 -1.44 -0.77 0.52 0.79 False(59)
   49 63.46 40.29 -0.63 -0.77 1.15 0.01 True(60)
   50 63.33 114.68 -1.81 -0.64 0.31 0.46 False(58)
   51 63.21 43.20 -0.68 -0.64 0.96 0.61 True(59)
   52 63.08 34.26 -0.54 -0.68 1.15 0.70 True(60)
   53 62.95 34.39 -0.55 -0.54 1.00 0.03 True(61)
   54 62.83 27.92 -0.44 -0.55 1.11 0.65 True(61)
   55 62.70 42.46 -0.68 -0.45 0.79 0.05 True(62)
   56 62.58 46.66 -0.75 -0.68 0.93 0.31 True(63)
   57 62.45 53.35 -0.85 -0.75 0.90 0.26 True(63)
   58 62.33 40.63 -0.65 -0.86 1.23 0.55 True(64)
   59 62.20 92.72 -1.49 -0.65 0.43 0.41 True(65)
   60 62.08 175.07 -2.82 -1.49 0.27 0.19 True(65)
   61 61.95 203.18 -3.28 -2.83 0.64 0.52 True(66)
   62 61.83 221.22 -3.58 -3.29 0.75 0.95 False(65)
   63 61.71 119.39 -1.93 -3.29 3.89 0.05 True(65)
